key,wmape_gate,bias_guarded
CA_1|FOODS_1_001,gbm,gbm
CA_1|FOODS_1_002,naive,croston_sba
CA_1|FOODS_1_003,gbm,gbm
CA_1|FOODS_1_004,gbm,seasonal_naive
CA_1|FOODS_1_005,naive,naive
CA_1|FOODS_1_006,croston_sba,croston_sba
CA_1|FOODS_1_007,naive,croston_sba
CA_1|FOODS_1_008,naive,ses
CA_1|FOODS_1_009,gbm,gbm
CA_1|FOODS_1_010,naive,gbm
CA_1|FOODS_2_001,croston_sba,croston_sba
CA_1|FOODS_2_002,naive,naive
CA_1|FOODS_2_003,gbm,gbm
CA_1|FOODS_2_004,gbm,croston_sba
CA_1|FOODS_2_005,naive,ses
CA_1|FOODS_2_006,naive,croston_sba
CA_1|FOODS_2_007,naive,naive
CA_1|FOODS_2_008,gbm,gbm
CA_1|FOODS_2_009,naive,naive
CA_1|FOODS_2_010,gbm,ses
CA_1|HOBBIES_1_001,gbm,ses
CA_1|HOBBIES_1_002,naive,naive
CA_1|HOBBIES_1_003,naive,ses
CA_1|HOBBIES_1_004,naive,naive
CA_1|HOBBIES_1_005,gbm,naive
CA_1|HOBBIES_1_006,croston_sba,croston_sba
CA_1|HOBBIES_1_007,croston_sba,croston_sba
CA_1|HOBBIES_1_008,seasonal_naive,seasonal_naive
CA_1|HOBBIES_1_009,gbm,gbm
CA_1|HOBBIES_1_010,gbm,gbm
CA_1|HOBBIES_2_001,gbm,gbm
CA_1|HOBBIES_2_002,croston_sba,seasonal_naive
CA_1|HOBBIES_2_003,gbm,naive
CA_1|HOBBIES_2_004,naive,croston_sba
CA_1|HOBBIES_2_005,naive,naive
CA_1|HOBBIES_2_006,ses,ses
CA_1|HOBBIES_2_007,gbm,gbm
CA_1|HOBBIES_2_008,gbm,gbm
CA_1|HOBBIES_2_009,gbm,croston_sba
CA_1|HOBBIES_2_010,naive,croston_sba
CA_1|HOUSEHOLD_1_001,gbm,gbm
CA_1|HOUSEHOLD_1_002,gbm,gbm
CA_1|HOUSEHOLD_1_003,naive,ses
CA_1|HOUSEHOLD_1_004,naive,seasonal_naive
CA_1|HOUSEHOLD_1_005,naive,naive
CA_1|HOUSEHOLD_1_006,gbm,ses
CA_1|HOUSEHOLD_1_007,croston_sba,croston_sba
CA_1|HOUSEHOLD_1_008,ses,ses
CA_1|HOUSEHOLD_1_009,gbm,gbm
CA_1|HOUSEHOLD_1_010,naive,ses
CA_1|HOUSEHOLD_2_001,ses,gbm
CA_1|HOUSEHOLD_2_002,gbm,gbm
