category,spec,estimate,se,truth,bias,n
FOODS,E_poisson_no_promo_ctrl,-3.6307394329281713,,-2.1,-1.5307394329281712,21000
FOODS,F_poisson_full,-2.1543951590065578,,-2.1,-0.05439515900655767,21000
FOODS,A_naive,0.24100441830730654,0.007380894625121402,-2.1,2.3410044183073064,146000
FOODS,B_promo_control,0.28817050008298173,0.007311256855825017,-2.1,2.388170500082982,146000
FOODS,C_promo_fe_calendar,-1.108292415952221,0.029275275934701268,-2.1,0.9917075840477791,146000
FOODS,D_exclude_promo_weeks,-1.0162299226162805,0.03256793363705703,-2.1,1.0837700773837196,134548
HOBBIES,E_poisson_no_promo_ctrl,-1.8352278439029368,,-0.6,-1.235227843902937,21000
HOBBIES,F_poisson_full,-0.5962946773673992,,-0.6,0.003705322632600816,21000
HOBBIES,A_naive,-0.3186469974716651,0.004785103622136224,-0.6,0.2813530025283349,146000
HOBBIES,B_promo_control,-0.3068257979317198,0.004782535369860769,-0.6,0.29317420206828015,146000
HOBBIES,C_promo_fe_calendar,-0.3700840846504024,0.026899646324555434,-0.6,0.2299159153495976,146000
HOBBIES,D_exclude_promo_weeks,-0.36404314787166797,0.030236297367683775,-0.6,0.235956852128332,134135
HOUSEHOLD,E_poisson_no_promo_ctrl,-2.8082809376063618,,-1.2,-1.6082809376063618,21000
HOUSEHOLD,F_poisson_full,-1.4093161547433277,,-1.2,-0.20931615474332776,21000
HOUSEHOLD,A_naive,0.8841010911972236,0.00575974729437341,-1.2,2.0841010911972235,146000
HOUSEHOLD,B_promo_control,0.9421799419351579,0.005745096700207323,-1.2,2.142179941935158,146000
HOUSEHOLD,C_promo_fe_calendar,-0.6661371971170369,0.030321026715063232,-1.2,0.5338628028829631,146000
HOUSEHOLD,D_exclude_promo_weeks,-0.6347245104423789,0.034796206058123905,-1.2,0.5652754895576211,134709
