item_id,cat_id,dept_id,estimate,se,n,truth
FOODS_1_001,FOODS,FOODS_1,-1.342798257053342,0.20644358760085332,1050,-1.4085
FOODS_1_002,FOODS,FOODS_1,-2.272141419955568,0.18809445528713026,1050,-2.2594
FOODS_1_003,FOODS,FOODS_1,-2.625781187069775,0.35046257912236284,1050,-1.6691
FOODS_1_004,FOODS,FOODS_1,-2.5446814866199188,0.8203367983106392,1050,-2.5412
FOODS_1_005,FOODS,FOODS_1,-2.093739291321993,0.5282685303606195,1050,-2.009
FOODS_1_006,FOODS,FOODS_1,-1.9598061149402166,0.22059615999919782,1050,-1.906
FOODS_1_007,FOODS,FOODS_1,-2.1175221860854223,0.22171480032940505,1050,-2.0322
FOODS_1_008,FOODS,FOODS_1,-2.0359622742735928,0.2691547385517431,1050,-2.3354
FOODS_1_009,FOODS,FOODS_1,-3.1876316019639335,0.1495140345019201,1050,-3.2532
FOODS_1_010,FOODS,FOODS_1,-1.7573272228934012,0.19147902666833308,1050,-2.0613
FOODS_2_001,FOODS,FOODS_2,-2.2294096621265354,0.4709787990305707,1050,-2.2186
FOODS_2_002,FOODS,FOODS_2,-1.5829838895022783,0.15761357986614677,1050,-1.7431
FOODS_2_003,FOODS,FOODS_2,-2.101798781058854,0.2250504813825373,1050,-2.1233
FOODS_2_004,FOODS,FOODS_2,-1.6418183508698636,0.1814532873756642,1050,-2.0066
FOODS_2_005,FOODS,FOODS_2,-3.0951101295409,0.27079046187043543,1050,-2.9201
FOODS_2_006,FOODS,FOODS_2,-2.2322811469422996,0.280797488314052,1050,-2.2208
FOODS_2_007,FOODS,FOODS_2,-1.9668130035864353,0.21485341893842191,1050,-2.0271
FOODS_2_008,FOODS,FOODS_2,-2.373508092619666,0.2608774727816103,1050,-2.2158
FOODS_2_009,FOODS,FOODS_2,-2.8760617691093766,0.25044779105636633,1050,-2.4986
FOODS_2_010,FOODS,FOODS_2,-1.7846882857304758,0.14110480528195737,1050,-1.8947
HOBBIES_1_001,HOBBIES,HOBBIES_1,-0.9379449571159278,0.22911483944334313,1050,-0.6855
HOBBIES_1_002,HOBBIES,HOBBIES_1,-0.6475273928571911,0.2482759149555109,1050,-0.547
HOBBIES_1_003,HOBBIES,HOBBIES_1,-0.20200699952624304,0.5000770558975569,1050,-0.7724
HOBBIES_1_004,HOBBIES,HOBBIES_1,-0.4790336998397516,0.2820613921631507,1050,-0.5733
HOBBIES_1_005,HOBBIES,HOBBIES_1,0.17535409326481746,0.4628374525693878,1050,-0.5741
HOBBIES_1_006,HOBBIES,HOBBIES_1,-1.074548888496999,0.511423846591741,1050,-0.6468
